title,url,sources,notes,appears_in,appears_in_url
"Capital requirements for mining to meet demand in the Announced Pledges and Net Zero Scenarios, by 2040",https://www.iea.org/data-and-statistics/charts/capital-requirements-for-mining-to-meet-demand-in-the-announced-pledges-and-net-zero-scenarios-by-2040,IEA analysis based on data from S&P Global and company reports.,"Capital requirements are calculated based on compiled capital intensity by region and production route. The values also assume an increased average capital intensity over today due to declining ore grades. Rare earths refer to the four magnet rare earth elements: neodymium, praseodymium, dysprosium and terbium.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"IEA energy transition mineral price index, January 2020-April 2024",https://www.iea.org/data-and-statistics/charts/iea-energy-transition-mineral-price-index-january-2020-april-2024,IEA analysis based on Bloomberg and S&P Global.,"IEA energy transition minerals price index is a basket price of copper, lithium, nickel, cobalt, graphite, manganese and neodymium.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Price developments of minerals and metals by category, January 2020 – April 2024",https://www.iea.org/data-and-statistics/charts/price-developments-of-minerals-and-metals-by-category-january-2020-april-2024,IEA analysis based on Bloomberg and S&P Global.,"Base metals include iron, aluminium, zinc and copper. Battery metals include lithium, nickel, cobalt, graphite and manganese. Rare earths refer to the four magnet rare earth elements: neodymium, praseodymium, dysprosium and terbium.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Capital expenditure on nonferrous metal production by 25 major mining companies, 2011-2023",https://www.iea.org/data-and-statistics/charts/capital-expenditure-on-nonferrous-metal-production-by-25-major-mining-companies-2011-2023,IEA analysis based on company annual reports and S&P Global.,"For diversified majors, capex on the production of iron ore, gold, coal and other energy products was excluded. Nominal values.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Selected environmental, social and governance indicators for critical mineral developments by areas of attention, 2019-2022",https://www.iea.org/data-and-statistics/charts/selected-environmental-social-and-governance-indicators-for-critical-mineral-developments-by-areas-of-attention-2019-2022,"IEA analysis based on the latest sustainability reports of Albemarle, Allkem and Livent (Arcadium Lithium), Anglo American, BHP, CMOC Group, Codelco, Eramet, First Quantum, Freeport Mc-MoRan, Ganfeng Lithium, Glencore, IGO, KGHM, Mineral Resources, NorNickel, Pilbara Minerals, Rio Tinto, South32, Southern Copper, SQM, Teck Resources, Tianqi Lithium, Vale, Zhejiang Huayou, and Zijin Mining Group Co. Ltd.","GHG= greenhouse gas. Aggregated data for 25 major companies that have a strong presence in critical minerals supply chain. Considers reported data for all operations. Indicators are calculated per tonne of mineral produced – except for injury rate, water recycling and female share of workers – which reflect the weighted average by production.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Selected environmental, social and governance indicators for critical mineral developments by positive trends, 2019-2022",https://www.iea.org/data-and-statistics/charts/selected-environmental-social-and-governance-indicators-for-critical-mineral-developments-by-positive-trends-2019-2022,"IEA analysis based on the latest sustainability reports of Albemarle, Allkem and Livent (Arcadium Lithium), Anglo American, BHP, CMOC Group, Codelco, Eramet, First Quantum, Freeport Mc-MoRan, Ganfeng Lithium, Glencore, IGO, KGHM, Mineral Resources, NorNickel, Pilbara Minerals, Rio Tinto, South32, Southern Copper, SQM, Teck Resources, Tianqi Lithium, Vale, Zhejiang Huayou, and Zijin Mining Group Co. Ltd.","Aggregated data for 25 major companies that have a strong presence in critical minerals supply chain. Considers reported data for all operations. Indicators are calculated per tonne of mineral produced – except for injury rate, water recycling and female share of workers – which reflect the weighted average by production.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global copper demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-copper-demand-in-the-net-zero-scenario-2023-2040-5856,,The figures for copper are based on refined copper. Those for rare earth elements are for magnet rare earth elements only.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Geographical distribution of mined or raw material production for key energy transition minerals in the base case, 2023-2040",https://www.iea.org/data-and-statistics/charts/geographical-distribution-of-mined-or-raw-material-production-for-key-energy-transition-minerals-in-the-base-case-2023-2040-2,,Graphite extraction is for natural flake graphite. The figures for rare earth elements are for magnet rare earth elements only. The figure depicts the value of the top three producing countries in a given year.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global lithium demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-lithium-demand-in-the-net-zero-scenario-2023-2040,,,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global nickel demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-nickel-demand-in-the-net-zero-scenario-2023-2040,,,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Global rare earths demand in the Net Zero Scenario, 2023-2040",https://www.iea.org/data-and-statistics/charts/global-rare-earths-demand-in-the-net-zero-scenario-2023-2040,,The figures for rare earth elements are for magnet rare earth elements only.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Expected supply from existing and announced projects and primary supply requirements in the Announced Pledges Scenario, 2035",https://www.iea.org/data-and-statistics/charts/expected-supply-from-existing-and-announced-projects-and-primary-supply-requirements-in-the-announced-pledges-scenario-2035,,"APS= Announced Pledges Scenario; Expected supply is based on mined or raw material output, except for graphite where the figure includes expected spherical graphite and synthetic graphite supplies. Primary supply requirements are calculated as “total demand net of secondary supply”, also accounting for losses during refining operations. The figures for rare earth elements are for magnet rare earth only.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
"Share of secondary supply in total demand for selected materials in the Net Zero Scenario, 2010-2040",https://www.iea.org/data-and-statistics/charts/share-of-secondary-supply-in-total-demand-for-selected-materials-in-the-net-zero-scenario-2010-2040,,Secondary supply share for copper excludes direct use of scrap.,Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
Clean energy transition risk score for key energy transition minerals,https://www.iea.org/data-and-statistics/charts/clean-energy-transition-risk-score-for-key-energy-transition-minerals,,"ESG= environmental, social and governance. The score for each risk category ranges from 1 (low risk) to 3 (high risk). Rare earths refer to the four magnet rare earth elements: neodymium, praseodymium, dysprosium and terbium.",Global Critical Minerals Outlook 2024,https://www.iea.org/reports/global-critical-minerals-outlook-2024
